instance,seed,algorithm,trace_type,objective_evaluation_count,best_fitness,best_makespan,best_load_imbalance,best_total_idle_distance,elapsed_algorithm_time,generation
w30,80,ABMA20,primary_evaluation,155,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,36.928052300121635,
w30,80,ABMA20,primary_evaluation,156,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,37.13711789995432,
w30,80,ABMA20,primary_evaluation,157,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,37.23801830015145,
w30,80,ABMA20,primary_evaluation,158,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,37.41000059992075,
w30,80,ABMA20,primary_evaluation,159,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,37.62158240005374,
w30,80,ABMA20,primary_evaluation,160,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,37.80344810010865,
w30,80,ABMA20,primary_evaluation,161,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,37.93870469997637,
w30,80,ABMA20,primary_evaluation,162,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,38.176425399957225,
w30,80,ABMA20,primary_evaluation,163,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,38.36887010000646,
w30,80,ABMA20,primary_evaluation,164,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,38.47565470007248,
w30,80,ABMA20,primary_evaluation,165,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,38.67037730012089,
w30,80,ABMA20,primary_evaluation,166,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,38.88978420011699,
w30,80,ABMA20,primary_evaluation,167,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,39.0041175999213,
w30,80,ABMA20,primary_evaluation,168,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,39.12060309993103,
w30,80,ABMA20,primary_evaluation,169,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,39.318965499987826,
w30,80,ABMA20,primary_evaluation,170,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,39.505738199921325,
w30,80,ABMA20,primary_evaluation,171,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,39.701318399980664,
w30,80,ABMA20,primary_evaluation,172,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,39.927511299960315,
w30,80,ABMA20,primary_evaluation,173,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,40.075049800099805,
w30,80,ABMA20,primary_evaluation,174,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,40.316884899977595,
w30,80,ABMA20,primary_evaluation,175,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,40.492855000076815,
w30,80,ABMA20,primary_evaluation,176,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,40.62823719996959,
w30,80,ABMA20,primary_evaluation,177,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,40.72920250007883,
w30,80,ABMA20,primary_evaluation,178,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,41.12074870010838,
w30,80,ABMA20,primary_evaluation,179,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,41.251677999971434,
w30,80,ABMA20,primary_evaluation,180,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,41.48779939999804,
w30,80,ABMA20,primary_evaluation,181,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,41.71652869996615,
w30,80,ABMA20,primary_evaluation,182,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,41.86687050014734,
w30,80,ABMA20,primary_evaluation,183,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,42.069153800141066,
w30,80,ABMA20,primary_evaluation,184,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,42.54571440001018,
w30,80,ABMA20,primary_evaluation,185,0.8413830147264673,1248.2409632862032,83.55435055417979,72.11418649704417,42.7591852999758,
